#Meshblocks in selection, based on local boards 

Meshblock_(2013_areas)	MeshblockN	TLA	Local_board	AreaUnit	Pop_usual	Pop_night	LandAreaSQKM
MB_0352700	352700	Auckland	Kaipatiki_Local_Board_Area	510402	0	0	0.28297771
MB_0728500	728500	Auckland	Mangere-Otahuhu_Local_Board_Area	524200	9	6	0.85244498
MB_3207001	3207001	Auckland	Howick_Local_Board_Area	523109	87	87	0.056565
MB_0187901	187901	Auckland	Kaipatiki_Local_Board_Area	508210	195	195	0.08551711
MB_0308100	308100	Auckland	Devonport-Takapuna_Local_Board_Area	507800	123	123	0.02921516
MB_0382700	382700	Auckland	Whau_Local_Board_Area	514401	198	198	0.04065266
MB_0383500	383500	Auckland	Whau_Local_Board_Area	514401	192	195	0.05629937
MB_0423600	423600	Auckland	Waitemata_Local_Board_Area	515202	0	0	0.14351862
MB_0580100	580100	Auckland	Puketapapa_Local_Board_Area	518803	69	72	0.02431103
MB_0582600	582600	Auckland	Puketapapa_Local_Board_Area	518803	189	192	0.03823915
MB_0591704	591704	Auckland	Puketapapa_Local_Board_Area	519001	96	96	0.34050427
MB_0354000	354000	Auckland	Kaipatiki_Local_Board_Area	510402	297	303	1.44335871
MB_0728605	728605	Auckland	Mangere-Otahuhu_Local_Board_Area	524200	39	39	0.62479716
MB_0788300	788300	Auckland	Mangere-Otahuhu_Local_Board_Area	521803	276	261	0.08779187
MB_0341200	341200	Auckland	Kaipatiki_Local_Board_Area	510010	183	180	0.04466261
MB_0384500	384500	Auckland	Albert-Eden_Local_Board_Area	514900	189	189	0.04848562
MB_0148704	148704	Auckland	Devonport-Takapuna_Local_Board_Area	508520	36	36	0.01762377
MB_0392200	392200	Auckland	Albert-Eden_Local_Board_Area	515001	48	48	0.17728388
MB_0675100	675100	Auckland	Howick_Local_Board_Area	522601	18	18	0.50694823
MB_0393100	393100	Auckland	Albert-Eden_Local_Board_Area	515001	117	117	0.02924785
MB_0199500	199500	Auckland	Kaipatiki_Local_Board_Area	508320	129	129	0.02464772
MB_0180827	180827	Auckland	Devonport-Takapuna_Local_Board_Area	508805	204	201	0.06166534
MB_0180847	180847	Auckland	Kaipatiki_Local_Board_Area	508803	147	144	0.03132846
MB_0183501	183501	Auckland	Kaipatiki_Local_Board_Area	508420	3	3	0.05782075
MB_0184300	184300	Auckland	Kaipatiki_Local_Board_Area	508411	186	183	0.04811167
MB_0419000	419000	Auckland	Waitemata_Local_Board_Area	515500	78	75	0.01634458
MB_0182008	182008	Auckland	Kaipatiki_Local_Board_Area	508420	186	192	0.09586655
MB_0182400	182400	Auckland	Kaipatiki_Local_Board_Area	508420	96	90	0.01978005
MB_0182802	182802	Auckland	Kaipatiki_Local_Board_Area	508420	27	30	0.00597409
MB_0182803	182803	Auckland	Kaipatiki_Local_Board_Area	508420	24	24	0.00522324
MB_0183904	183904	Auckland	Kaipatiki_Local_Board_Area	508411	195	192	0.11428594
MB_0184800	184800	Auckland	Kaipatiki_Local_Board_Area	508412	180	174	0.05875825
MB_0186002	186002	Auckland	Kaipatiki_Local_Board_Area	508412	189	192	0.04965423
MB_0186104	186104	Auckland	Kaipatiki_Local_Board_Area	508412	252	249	0.05399478
MB_0187405	187405	Auckland	Kaipatiki_Local_Board_Area	508210	342	348	0.12110376
MB_0195600	195600	Auckland	Devonport-Takapuna_Local_Board_Area	508510	168	171	0.03940688
MB_0187600	187600	Auckland	Kaipatiki_Local_Board_Area	508210	174	180	0.05820137
MB_0187902	187902	Auckland	Kaipatiki_Local_Board_Area	508210	219	219	0.04807701
MB_0188001	188001	Auckland	Kaipatiki_Local_Board_Area	508210	189	189	0.05034365
MB_0195700	195700	Auckland	Devonport-Takapuna_Local_Board_Area	508510	72	72	0.05093726
MB_0322800	322800	Auckland	Devonport-Takapuna_Local_Board_Area	508020	117	117	0.02405399
MB_0188002	188002	Auckland	Kaipatiki_Local_Board_Area	508210	198	198	0.04412545
MB_0188200	188200	Auckland	Kaipatiki_Local_Board_Area	508220	198	198	0.05603759
MB_0188300	188300	Auckland	Kaipatiki_Local_Board_Area	508220	114	111	0.03032143
MB_0188401	188401	Auckland	Kaipatiki_Local_Board_Area	508220	69	63	0.03470531
MB_0189500	189500	Auckland	Kaipatiki_Local_Board_Area	508220	138	138	0.04215062
MB_0191501	191501	Auckland	Devonport-Takapuna_Local_Board_Area	508520	39	39	0.01011394
MB_0192800	192800	Auckland	Devonport-Takapuna_Local_Board_Area	508520	144	144	0.06723529
MB_0194000	194000	Auckland	Devonport-Takapuna_Local_Board_Area	508510	195	195	0.03825525
MB_0204200	204200	Auckland	Kaipatiki_Local_Board_Area	508620	90	90	0.03101383
MB_0205402	205402	Auckland	Kaipatiki_Local_Board_Area	508610	36	36	0.01390502
MB_0205700	205700	Auckland	Kaipatiki_Local_Board_Area	508610	159	159	0.03976995
MB_0206100	206100	Auckland	Kaipatiki_Local_Board_Area	508610	114	117	0.02756015
MB_0207900	207900	Auckland	Kaipatiki_Local_Board_Area	508610	156	156	0.05454613
MB_0266000	266000	Auckland	Whau_Local_Board_Area	511303	6	6	0.09412781
MB_0288900	288900	Auckland	Whau_Local_Board_Area	512100	147	144	0.0578747
MB_0469200	469200	Auckland	Orakei_Local_Board_Area	516900	153	150	0.13704635
MB_0322900	322900	Auckland	Devonport-Takapuna_Local_Board_Area	508020	93	90	0.02421793
MB_0341104	341104	Auckland	Kaipatiki_Local_Board_Area	510010	42	39	0.01517268
MB_0263001	263001	Auckland	Whau_Local_Board_Area	511401	120	120	0.04499801
MB_0263305	263305	Auckland	Whau_Local_Board_Area	511401	57	57	0.01177253
MB_0265005	265005	Auckland	Whau_Local_Board_Area	511303	36	36	0.00172113
MB_0265100	265100	Auckland	Whau_Local_Board_Area	511303	3	3	0.08745693
MB_0265900	265900	Auckland	Whau_Local_Board_Area	511303	42	42	0.04995913
MB_0469400	469400	Auckland	Orakei_Local_Board_Area	516900	126	129	0.32754847
MB_0270000	270000	Auckland	Whau_Local_Board_Area	511700	159	156	0.04099436
MB_0266900	266900	Auckland	Whau_Local_Board_Area	511301	15	15	0.03712314
MB_0267300	267300	Auckland	Whau_Local_Board_Area	511301	147	147	0.03913642
MB_0267500	267500	Auckland	Whau_Local_Board_Area	511301	63	66	0.01626276
MB_0267705	267705	Auckland	Whau_Local_Board_Area	511301	78	78	0.01400842
MB_0268500	268500	Auckland	Whau_Local_Board_Area	511302	132	129	0.03423568
MB_0269400	269400	Auckland	Whau_Local_Board_Area	511302	132	132	0.03318352
MB_0477400	477400	Auckland	Maungakiekie-Tamaki_Local_Board_Area	517100	69	69	0.46582695
MB_0270100	270100	Auckland	Whau_Local_Board_Area	511700	243	249	0.05288487
MB_0270201	270201	Auckland	Whau_Local_Board_Area	511700	57	72	0.17580511
MB_0270500	270500	Auckland	Whau_Local_Board_Area	511700	135	132	0.03124588
MB_0270800	270800	Auckland	Whau_Local_Board_Area	511700	126	126	0.06719235
MB_0270900	270900	Auckland	Whau_Local_Board_Area	511700	135	126	0.03034889
MB_0272705	272705	Auckland	Whau_Local_Board_Area	511602	54	54	0.02864672
MB_0273100	273100	Auckland	Whau_Local_Board_Area	511602	108	111	0.025817
MB_0273203	273203	Auckland	Whau_Local_Board_Area	511602	105	105	0.06104036
MB_0400000	400000	Auckland	Waitemata_Local_Board_Area	515100	102	102	0.02268686
MB_0289300	289300	Auckland	Whau_Local_Board_Area	512100	0	0	0.09079935
MB_0273204	273204	Auckland	Whau_Local_Board_Area	511602	177	177	0.03581855
MB_0273500	273500	Auckland	Whau_Local_Board_Area	511602	48	45	0.39672606
MB_0312200	312200	Auckland	Devonport-Takapuna_Local_Board_Area	507720	204	204	0.06541367
MB_0313300	313300	Auckland	Devonport-Takapuna_Local_Board_Area	507710	105	105	0.04782756
MB_0289601	289601	Auckland	Whau_Local_Board_Area	512100	60	60	0.02130291
MB_0290100	290100	Auckland	Whau_Local_Board_Area	512100	102	99	0.06095844
MB_0290300	290300	Auckland	Whau_Local_Board_Area	512100	60	60	0.03713051
MB_0290501	290501	Auckland	Whau_Local_Board_Area	512100	81	81	0.02652869
MB_0303502	303502	Auckland	Devonport-Takapuna_Local_Board_Area	507900	159	162	0.10685238
MB_0290702	290702	Auckland	Whau_Local_Board_Area	512100	153	153	0.04588103
MB_0291301	291301	Auckland	Whau_Local_Board_Area	511902	30	30	0.01235527
MB_0292004	292004	Auckland	Whau_Local_Board_Area	511902	57	60	0.01141848
