Area Unit Code	Population day	LandAreaSQKM //For area units that are only partly in selection, only MB that are in selection are included, removed points with either zero population or zero land area
508803	147	0.03132846
523818	804	4.73054403
511100	1953	0.69846462
511902	3591	1.55474937
521301	750	3.5963026
508805	234	0.07054667
508411	5109	1.72232404
523813	639	3.98366166
508520	6690	1.98519542
508420	6402	2.34822449
507710	2586	0.96329918
523202	21	0.82941735
507720	3525	0.93032637
511402	4383	1.31759701
513511	1353	1.09557917
507900	5223	3.65959446
508020	5835	1.76127116
508320	4299	2.03095085
509701	4500	1.38193613
510220	4155	1.38362263
510700	5841	2.05838267
511302	2751	0.68930365
511401	4452	1.29629326
513512	2856	0.89641308
513211	2301	0.63375886
513213	3084	0.84921135
513301	3801	2.71807321
513521	4923	1.65148763
513631	5751	1.72804914
514000	3753	1.00199992
514102	11700	1.16665552
514103	10089	0.92579466
514200	1647	0.43237576
514700	6138	2.44996906
514801	4554	3.57682476
515801	3777	1.10590321
515802	3630	0.95120352
516001	1386	0.90348814
516101	3354	0.91484037
516102	3936	1.56212114
516601	3336	1.07429764
516602	3765	1.3068341
517702	4845	1.05566835
517703	3267	0.71518399
519200	4776	1.31730415
519900	4050	0.90861137
520301	1674	2.39320086
520500	5589	6.72672419
520601	4473	1.50958818
521201	1668	7.43891347
522722	4203	1.35147742
522920	4386	1.50608495
523110	2745	1.15564943
523112	39	5.50504781
525620	1905	0.71123697
523113	4620	3.81676423
523116	2532	0.83151701
523912	4575	5.08861183
524001	3318	3.11483435
524122	3984	0.94253483
524200	7116	28.23702322
524301	5997	1.72813365
524302	5406	1.27486669
524303	6084	1.85890991
524403	2670	0.85940911
524510	3615	0.94437292
524604	642	16.38071093
524720	6135	1.64762345
524811	4188	1.22166828
524901	5211	1.86197844
525001	4461	1.23896125
525002	2451	0.89902077
525530	3162	1.36006736
525700	2475	1.7287024
517001	4437	1.80102858
522202	4788	1.42074028
522301	3696	1.0787858
508610	4845	1.57399147
522302	5577	1.46537439
522400	4461	1.00160752
508620	3198	1.33398914
509702	4392	2.02700117
513012	2439	1.03640365
507800	5190	1.74801904
508210	4560	1.48982533
508010	3153	1.22027716
508220	3615	1.83023737
