responderId,Master_Incident_Number,alertId,MB_IncidentAdd,CAD_Lat_with_fuzziness,CAD_Long_with_fuzziness,respondersLatitude_with_fuzziness,respondersLongitude_with_fuzziness,alertLatitude_with_fuzziness,alertLongitude_with_fuzziness,responderCallStatus,meterDistanceFromTheIncident,notificationTimeFormattedDate,acceptanceTimeFormattedDate,rejectionTimeFormattedDate,droppedTimeFormattedDate,onSceneTimeFormattedDate,withPatientTimeFormattedDate,DHB,Time_PhonePickUp,Time_CallEnteredQueue,Time_First_Unit_Assigned,Time_First_Unit_Arrived,defibObtainedTimeFormattedDate
,0,,781002,,,,,,,Accepted,,,,,,,,,,,,,
,1,,3204001,,,,,,,,,,,,,,,,,,,,
,2,,346400,,,,,,,,,,,,,,,,,,,,
,3,,760125,,,,,,,Not Seen,,,,,,,,,,,,,
,3,,760125,,,,,,,Not Seen,,,,,,,,,,,,,
,3,,760125,,,,,,,Accepted,,,,,,,,,,,,,
,3,,760125,,,,,,,Not Seen,,,,,,,,,,,,,
,4,,713700,,,,,,,,,,,,,,,,,,,,
,5,,564402,,,,,,,,,,,,,,,,,,,,
,6,,731500,,,,,,,,,,,,,,,,,,,,
,7,,512400,,,,,,,Rejected,,,,,,,,,,,,,
,7,,512400,,,,,,,Accepted But Dropped Later,,,,,,,,,,,,,
,7,,512400,,,,,,,Not Seen,,,,,,,,,,,,,
,7,,512400,,,,,,,Accepted,,,,,,,,,,,,,
,8,,791400,,,,,,,Not Seen,,,,,,,,,,,,,
,9,,742201,,,,,,,Not Seen,,,,,,,,,,,,,
,9,,742201,,,,,,,Rejected,,,,,,,,,,,,,
,10,,317900,,,,,,,,,,,,,,,,,,,,
,11,,258001,,,,,,,,,,,,,,,,,,,,
,12,,236607,,,,,,,,,,,,,,,,,,,,
,13,,406800,,,,,,,Not Seen,,,,,,,,,,,,,
,13,,406800,,,,,,,Not Seen,,,,,,,,,,,,,
,13,,406800,,,,,,,Rejected,,,,,,,,,,,,,
,14,,582500,,,,,,,,,,,,,,,,,,,,
,15,,758300,,,,,,,Rejected,,,,,,,,,,,,,
,16,,799130,,,,,,,,,,,,,,,,,,,,
,17,,711023,,,,,,,,,,,,,,,,,,,,
,18,,605300,,,,,,,,,,,,,,,,,,,,
,19,,721200,,,,,,,,,,,,,,,,,,,,
,20,,644800,,,,,,,Not Seen,,,,,,,,,,,,,
,20,,644800,,,,,,,Not Seen,,,,,,,,,,,,,
,20,,644800,,,,,,,Rejected,,,,,,,,,,,,,
,20,,644800,,,,,,,Not Seen,,,,,,,,,,,,,
,21,,311900,,,,,,,Not Seen,,,,,,,,,,,,,
,21,,311900,,,,,,,Not Seen,,,,,,,,,,,,,
,22,,278007,,,,,,,,,,,,,,,,,,,,
,23,,604200,,,,,,,Not Seen,,,,,,,,,,,,,
,24,,436001,,,,,,,Accepted,,,,,,,,,,,,,
,24,,436001,,,,,,,Not Seen,,,,,,,,,,,,,
,24,,436001,,,,,,,Rejected,,,,,,,,,,,,,
,25,,421000,,,,,,,Not Seen,,,,,,,,,,,,,
,25,,421000,,,,,,,Not Seen,,,,,,,,,,,,,
,26,,264901,,,,,,,Not Seen,,,,,,,,,,,,,
,27,,678003,,,,,,,Accepted,,,,,,,,,,,,,
,27,,678003,,,,,,,Accepted,,,,,,,,,,,,,
,28,,773815,,,,,,,Rejected,,,,,,,,,,,,,
,28,,773815,,,,,,,Accepted,,,,,,,,,,,,,
,28,,773815,,,,,,,Not Seen,,,,,,,,,,,,,
,28,,773815,,,,,,,Not Seen,,,,,,,,,,,,,
,28,,773815,,,,,,,Not Seen,,,,,,,,,,,,,
,29,,501102,,,,,,,Not Seen,,,,,,,,,,,,,
,30,,449400,,,,,,,Not Seen,,,,,,,,,,,,,
,30,,449400,,,,,,,Accepted,,,,,,,,,,,,,
,30,,449400,,,,,,,Not Seen,,,,,,,,,,,,,
,30,,449400,,,,,,,Not Seen,,,,,,,,,,,,,
,30,,449400,,,,,,,Rejected,,,,,,,,,,,,,
,31,,277000,,,,,,,Not Seen,,,,,,,,,,,,,
,31,,277000,,,,,,,Not Seen,,,,,,,,,,,,,
,31,,277000,,,,,,,Not Seen,,,,,,,,,,,,,
,31,,277000,,,,,,,Not Seen,,,,,,,,,,,,,
,31,,277000,,,,,,,Not Seen,,,,,,,,,,,,,
,32,,433801,,,,,,,Not Seen,,,,,,,,,,,,,
,32,,433801,,,,,,,Accepted,,,,,,,,,,,,,
,33,,305000,,,,,,,Rejected,,,,,,,,,,,,,
